list_name;name;english;label::Arabic;governorate
yes_no;yes;Yes;???;
yes_no;no;No;??;
yes_no_diff;yes;Yes;???;
yes_no_diff;no;No;??;
yes_no_diff;different_name;Yes, but the name is different;???? ???? ????? ?????;
governorate1;erbil;Erbil;?????;
governorate1;dahuk;Dahuk;????;
governorate1;sulaymaniyah;Sulaymaniyah;??????????;
idp_ref;refugee;Refugee;????;
idp_ref;idp;IDP;????;
modality;cheque;cheque (Qandil);?? ???? ????? ( ?? ?????);
modality;mobile_zain;mobile (Zain);?? ???? ???????? ???????? ( ?? ???);
modality;mobile_asia;mobile (Asia hawala);?? ???? ???????? ???????? ( ?? ???? ???);
call_status;off;Phone was off;?????? ??? ?????;
call_status;wrong_number;Wrong number;????? ????;
call_status;answered;Answered;??? ??????? ??? ??????;
call_status;busy;Busy;???? ?????;
call_status;no_answer;No answer;?? ?????;
remember;remember;I remember the distribution;????? ???????;
remember;no_remember;I don't remember this distribution;?? ????? ???????;
remember;received_nothing;I didn't receive anything;?? ????? ?? ???;
remember;cant_understand;I can't understand the person speaking and there's no one else available to talk to;?? ?????? ??? ????? ???? ????? ??? ??? ???? ??? ??? ????;
remember;remember_different;I remember the distribution but the details were different;????? ??????? ???? ??????? ??????;
sex;sex_female;Female;????;
sex;sex_male;Male;???;
accomodation;independent_house;Independent House / Apartment;??? ????? / ???;
accomodation;hosted_relatives;Hosted by relatives in house/apartment;??????? ?? ??? ??????? ?? ???? / ???;
accomodation;hosted_non_relatives;Hosted by non-relatives in house/apartment;??????? ?? ??? ??????? ?? ???? / ???;
accomodation;collective_house;Collective house/apartment;?????? ???????? \?????;
accomodation;garage;Garage or basement;?????? ?? ?????;
accomodation;collective_centre;Collective Centre (public building);???? ????? (????? ???? );
accomodation;unfinished_shelter;Unfinished shelter;???? ?? ???? ?????;
accomodation;tent;Tent;????;
accomodation;husseinieh;Husseinieh;??????;
accomodation;caravan;Caravan;????? (??? ?????);
accomodation;block_building;Block building;???? ?? ????? ?? ???????;
accomodation;other;Other;????;
formal_camp;camp;Formal camp;???? ????;
formal_camp;outside;Outside of the camp;???? ??????;
camp_name;Bajed_Kandala;Bajed Kandala;????? ??????;dahuk
camp_name;Bersive_1;Bersive 1;????? 1;dahuk
