type,label,name,hint,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,kuid
start,start,,,,,,,,,,
questions.file,end,,,,,,,,,,
today,today,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,
calculate,enumerator_name,What is the enumerators name?,Sheeg magaca qofka xog-aruuriyaha:,TRUE,,,,,,pulldata('enumerator_registration'COMMA'enumerator_name'COMMA'deviceid'COMMA${deviceid}),
calculate,enumerator_phone,For enumerators: please enter your contact number,Fadlan qor telefoonka qofka xog-aruuriyaha:,TRUE,,,,,,pulldata('enumerator_registration'COMMA'phone'COMMA'deviceid'COMMA${deviceid}),
calculate,enumerator_agency,What organisation is conducting this survey?,Sheeg hey'adda sameynaysa xog-aruurinta?,TRUE,,,,,,pulldata('enumerator_registration'COMMA'agency'COMMA'deviceid'COMMA${deviceid}),
begin group,A,Introduction,HORDHAC,,,,,,,,
select_one yes_no,consensus_note,Hi my name is ${enumerator_name} and I work for ${enumerator_agency}. We are currently conducting a survey on household needs and would like to ask you some questions about your current access to foodCOMMA income generating activitiesCOMMA health and WASH access. The survey usually takes around 30 minutes to complete. Any information you provide will be kept anonymous and confidential. This is voluntary and you can choose not to answer any question and/or quit at any point. HoweverCOMMA we hope you do participate as your views are important. Do you have any questions? May I begin now?,Asalaamu AlaikumCOMMA Magaceygu waa ${enumerator_name}  Waxaan la shaqeynayaa ${enumerator_agency}. Waxaan qabaneynaa xog-aruurin ku saabsan xaaladaha nolol maalmeedka dadka deeegaanka COMMA waxaan jeclahay inaan ku weydiiyo su'aalo ku saabsan xaaladaada ee helida cuntada iyo kaabayaasha dhaqaalaha. Wareysigaan wuxuu qaadanayaa ku dhawaad 30 daqiiqo. War bixin kasta aad noo sheegtid waxay noqon doontaa mid qarsoodi ah. Wareysiga waxba laguuguma siinaayoCOMMA waad iska diidi kartaa ka jawaabida su'aalaha qaarkoodCOMMA ama wareysiga gabi ahaanba waad iska joojin kartaa. HadabaCOMMA waxaan rajeynaynaa inaad nagala qeyb gali doontid maadaama ay aragtidaadu muhiim inoo tahay. Wax su'aal ah miyaad i weydiineysaa? Ma bilaabi karnaa wareysiga? ,TRUE,,,,,,,
note,declined_consent,If the respondent has declined consentCOMMA please end the interview and delete the form.,Haddii uu qofka diido inuu ka qeyb qaato wareysigaCOMMA fadlan iska jooji wareysiga iskana xer foomka.,TRUE,selected(${consensus_note}COMMA'no'),,,,,,
select_one region,region,What region is the assessment being conducted in?,Gobolkee ayaa laga qabanayaa xog-aruurinta?,TRUE,,,,,,,
select_one district,district,What district is the assessment being conducted in?,Sheeg degmadda laga aruurinaayo xogta?,TRUE,,,,,region=${region},,
