Camp_,w_nat,w_subnat,Population
Dawadia,0.518796516,0.357503964,35750.3964
Bajed_Kandala,1.457870203,1.004621968,100462.1968
Kabarto_1,1.787019719,1.231439715,123143.9715
Kabarto_2,1.727718056,1.190574792,119057.4792
Rwanga_Community,1.94399828,1.33961403,133961.403
Khanke,2.058640891,1.418614537,141861.4537
Shariya,2.180046413,1.502275383,150227.5383
Bersive_1,1.229002058,0.846908363,84690.8363
Bersive_2,1.226795591,0.845387881,84538.7881
Chamishku,3.54236944,2.441055556,244105.5556
Darkar,0.560223508,0.386051407,38605.1407
Baharka,0.502051162,0.345964699,34596.4699
Harshm,0.266265625,0.183484302,18348.4302
Ankawa_2,0.275808361,0.190060225,19006.0225
Debaga_1,1.244562697,0.857631237,85763.1237
Debaga_2,0.342126327,0.235760099,23576.0099
Mamilian,0.330970034,0.22807227,22807.227
Essian,1.824886478,1.257533792,125753.3792
Sheikhan,0.66423847,0.457728375,45772.8375
Mamrashan,1.438373777,0.991186933,99118.6933
Garmawa,0.79677971,0.549062872,54906.2872
Tazade,0.362208543,0.249598804,24959.8804
Arbat_IDP,0.344918962,0.237684511,23768.4511
Ashti_IDP,1.838028551,1.266590028,126659.0028
Muskar_Saad_Camp,0.166710832,0.114880847,11488.0847
Alwand_1,0.641596755,0.442125913,44212.5913
Alwand_2,0.285001973,0.196395566,19639.5566
Qoratu,0.264403627,0.182201195,18220.1195
As_Salamyiah,1.810460252,3.055307768,305530.7768
Haj_Ali,1.681540967,2.837745359,283774.5359
Hamam_Al_Alil_1,0.977062994,1.648878041,164887.8041
Hamam_Al_Alil_2,0.866236538,1.461848842,146184.8842
Hasansham_U2,0.122975897,0.207532428,20753.2428
Hasansham_U3,0.256006677,0.43203334,43203.334
Khazer_M1,0.856689609,1.445737577,144573.7577
Qayyarah_Airstrip,2.206138481,3.723048893,372304.8893
Qayyarah-Jad'ah,3.82213994,6.450190681,645019.0681
Daquq,0.352227866,0.594414891,59441.4891
Laylan_2,0.23869719,0.402822088,40282.2088
Laylan_3,0.28561073,0.481992731,48199.2731
Laylan_IDP,0.487803432,0.823210348,82321.0348
Nazrawa,0.420754789,0.710059982,71005.9982
Yahyawa,0.218728531,0.369123255,36912.3255
Al Kawthar,0.786182142,0.548627454,54862.7454
Al_Alam,1.233283638,0.860631685,86063.1685
Al_Hardania,0.154781527,0.108012368,10801.2368
Al_Khalidiya_Almarkazi_camp,0.324093826,0.226164856,22616.4856
Al_Khalidiya_Central_camp,0.48690575,0.339781137,33978.1137
Al_Nabi_Younis,0.329817723,0.230159206,23015.9206
Al_Qasir_Camp,2.165318857,1.5110409,151104.09
Al_salam_/_al_takia_al_kasnazania,0.418015957,0.291707249,29170.7249
Al_Sh'hamah_/_Kamarah,0.689968422,0.481485903,48148.5903
AlAmal_Nassir_WaSalam_Caravans,0.154781527,0.108012368,10801.2368
Amriyat_Al_Fallujah_Camp,4.061648699,2.834371152,283437.1152
Basateen_Al_Sheuokh,0.309936856,0.216285589,21628.5589
Bezabize_Central_Camp,2.628014625,1.833927401,183392.7401
Kilo_18,1.30730859,0.91228908,91228.908
Najaf_RHU_Camp,0.302617729,0.211178028,21117.8028
Shooting_Camp_/_Al_Ahel,0.239578919,0.167187176,16718.7176
Uwayrij,0.292263098,0.203952177,20395.2177
Zayona,0.148887923,0.10389959,10389.959
