"","x"
"1","start"
"2","end"
"3","date"
"4","deviceid"
"5","hello.my.name.is.........i.work.for.reach..together.with.unhcr..we.are.currently.conducting.a.survey.to.understand.the.needs.of.refugees.from.myanmar..we.would.like.to.know.more.about.the.needs.of.your.family.and.to.what.services.you.have.access..we.also.may.ask.you.a.few.questions.about.yourself.personally..the.survey.usually.takes.between.30.and.45.minutes.to.complete..any.information.that.you.provide.will.be.kept.anonymous..this.is.voluntary.and.you.can.choose.not.to.answer.any.or.all.of.the.questions.if.you.want..you.may.also.choose.to.quit.at.any.point..however..we.hope.that.you.will.participate.since.your.views.are.important..participation.in.the.survey.does.not.have.any.impact.on.whether.you.or.your.family.receive.assistance..do.you.have.any.questions..may.i.begin.now."
"6","are.you.willing.to.take.part.in.this.interview."
"7","enter.your.enumerator.id.number."
"8","enter.the.gender.of.the.respondent"
"9","barcode"
"10","please.enter.the.family.code.number"
"11","enter.the.survey.site."
"12","please.record.the.location."
"13",".please.record.the.location..latitude"
"14",".please.record.the.location..longitude"
"15",".please.record.the.location..altitude"
"16",".please.record.the.location..precision"
"17","enumerator.guidance..unless.otherwise.indicated..only.one.response.can.be.given..response.options.should.not.be.read.out.loud..unless.otherwise.indicated."
"18","are.you.the.head.of.the.family."
"19","what.is.your.relationship.to.the.head.of.family."
"20","what.is.your.relationship.to.the.head.of.family."
"21","what.is.the.gender.of.the.head.of.the.family."
"22","how.many.members.of.the.family.are.there."
"23","does.this.family.have.infants.under.6.months.old."
"24","how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location."
"25","do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when."
"26","what.is.the.primary.reason.for.planning.to.leave.this.shelter."
"27","what.is.the.primary.reason.for.planning.to.leave.this.shelter."
"28","where.do.you.and.your.family.intend.to.leave.to.in.the.near.future."
"29","where.do.you.and.your.family.intend.to.leave.to.in.the.near.future."
"30","what.is.the.main.source.of.water.for.your.family."
"31","what.is.the.main.source.of.water.for.your.family."
"32","what.do.you.use.the.water.you.collect.from.the.water.source.for."
"33","what.do.you.use.the.water.you.collect.from.the.water.source.for..drinking"
"34","what.do.you.use.the.water.you.collect.from.the.water.source.for..cooking"
"35","what.do.you.use.the.water.you.collect.from.the.water.source.for..washing.clothes"
"36","what.do.you.use.the.water.you.collect.from.the.water.source.for..washing.body"
"37","what.do.you.use.the.water.you.collect.from.the.water.source.for..cleaning"
"38","what.do.you.use.the.water.you.collect.from.the.water.source.for..other"
"39","what.do.you.use.the.water.you.collect.from.the.water.source.for."
"40","do.you.treat.your.water.before.drinking.it."
"41","how.do.you.usually.treat.your.drinking.water."
"42","safety.concern"
"43","."
"44","desired.intervention"
"45","."
"46","how.do.you.usually.treat.your.drinking.water..leave.bottled.water.in.the.sun.solar.disinfection"
"47","how.do.you.usually.treat.your.drinking.water..other"
"48","how.do.you.usually.treat.your.drinking.water..i.don.t.know"
"49","how.do.you.usually.treat.your.drinking.water..i.don.t.want.to.answer"
"50","how.do.you.usually.treat.your.drinking.water."
