"","indicator","p value","test type","dependent.var.value","independent.var.value","numbers","se","min","max"
"1","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-07","Female",0.0254526669485702,NA,NA,NA
"2","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-08","Female",0.0572881717312895,NA,NA,NA
"3","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-10","Female",0.0409099593153939,NA,NA,NA
"4","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-11","Female",0.0171091941838763,NA,NA,NA
"5","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-12","Female",0.0299372967440879,NA,NA,NA
"6","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-13","Female",0.0444248551222502,NA,NA,NA
"7","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-14","Female",0.0496929475517958,NA,NA,NA
"8","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-15","Female",0.0314643134036069,NA,NA,NA
"9","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-16","Female",0,NA,NA,NA
"10","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-17","Female",0.0584608724719183,NA,NA,NA
"11","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-18","Female",0.0828145137668788,NA,NA,NA
"12","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-19","Female",0.0491436529282879,NA,NA,NA
"13","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-20","Female",0.0342352119264952,NA,NA,NA
"14","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-21","Female",0.0150890771025636,NA,NA,NA
"15","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-22","Female",0.00586797442877472,NA,NA,NA
"16","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-27","Female",0.0159273591638171,NA,NA,NA
"17","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-16","Female",0.0781700793863321,NA,NA,NA
"18","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-17","Female",0.129512364350638,NA,NA,NA
"19","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-18","Female",0.120993226505747,NA,NA,NA
"20","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-19","Female",0.113506262967677,NA,NA,NA
"21","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-07","Male",0.0197080989615065,NA,NA,NA
"22","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-08","Male",0.0394399002159669,NA,NA,NA
"23","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-10","Male",0.0535972919670689,NA,NA,NA
"24","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-11","Male",0.0110805928203858,NA,NA,NA
"25","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-12","Male",0.0310196069709454,NA,NA,NA
"26","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-13","Male",0.0377707240957543,NA,NA,NA
"27","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-14","Male",0.0484343245036777,NA,NA,NA
"28","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-15","Male",0.0338398733548122,NA,NA,NA
"29","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-16","Male",0.00125906964780828,NA,NA,NA
"30","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-17","Male",0.0740886142557718,NA,NA,NA
"31","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-18","Male",0.0668519663015553,NA,NA,NA
"32","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-19","Male",0.0641024624781447,NA,NA,NA
"33","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-20","Male",0.0404568362594002,NA,NA,NA
"34","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-21","Male",0.00510158081237941,NA,NA,NA
"35","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-22","Male",0,NA,NA,NA
"36","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-27","Male",0.00829006882011653,NA,NA,NA
"37","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-16","Male",0.103285946630929,NA,NA,NA
"38","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-17","Male",0.152974277166746,NA,NA,NA
"39","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-18","Male",0.113778871914709,NA,NA,NA
"40","date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-19","Male",0.0949198928223223,NA,NA,NA
"Female","enter your enumerator id number ",0.617070126490293,"two sample ttest on difference in means (two sided)",NA,"Female",38.0731586077268,0.819856657944308,36.4662690856706,39.680048129783
"Male","enter your enumerator id number ",0.617070126490293,"two sample ttest on difference in means (two sided)",NA,"Male",38.59328599091,0.520691970617701,37.5727484814601,39.6138235003598
"110","enter the gender of the respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Female","Female",0.954487910913929,NA,NA,NA
"210","enter the gender of the respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Male","Female",0.0455120890860709,NA,NA,NA
"310","enter the gender of the respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Female","Male",0.275967318492786,NA,NA,NA
"410","enter the gender of the respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Male","Male",0.724032681507214,NA,NA,NA
"111","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.10","Female",0.0482514045971609,NA,NA,NA
"211","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.11","Female",0.0359529550472917,NA,NA,NA
"311","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.12","Female",0.0278795955928217,NA,NA,NA
"411","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.13","Female",0.040076180790746,NA,NA,NA
"510","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.14","Female",0.031093049085325,NA,NA,NA
"610","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.15","Female",0.0297786652681089,NA,NA,NA
"710","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.16","Female",0.0200103261441479,NA,NA,NA
"810","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.17","Female",0.0171091941838763,NA,NA,NA
"99","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.18","Female",0.0342454571494893,NA,NA,NA
"101","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.19","Female",0.0192316464859133,NA,NA,NA
"112","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.1E","Female",0.0601431030567858,NA,NA,NA
"121","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.1W","Female",0.0409099593153939,NA,NA,NA
"131","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.20","Female",0.00179222921117151,NA,NA,NA
"141","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.2E","Female",0.0445618382570044,NA,NA,NA
"151","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.2W","Female",0.0381790004228553,NA,NA,NA
"161","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.3","Female",0.0496929475517958,NA,NA,NA
"171","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.4","Female",0.0444248551222502,NA,NA,NA
"181","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.5","Female",0.0314643134036069,NA,NA,NA
"191","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.6","Female",0.0299372967440879,NA,NA,NA
"201","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.7","Female",0.034757172425256,NA,NA,NA
"212","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.8E","Female",0.0479171560085051,NA,NA,NA
"221","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.8W","Female",0.0168332639452046,NA,NA,NA
"231","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.9","Female",0.0447824545752466,NA,NA,NA
"241","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Chakmarkul","Female",0.0103536626262463,NA,NA,NA
