"","index","value","variable","has_issue","issue_type"
"1",NA,NA,"phonenumber",TRUE,"Potentially sensitive information. Please ensure all PII is removed"
"2",NA,NA,"phone",TRUE,"Potentially sensitive information. Please ensure all PII is removed"
"3",NA,NA,"X_Loc_6_latitude",TRUE,"Potentially sensitive information. Please ensure all PII is removed"
"4",NA,NA,"X_Loc_6_longitude",TRUE,"Potentially sensitive information. Please ensure all PII is removed"
"5",32,32,"X_Loc_6_precision",TRUE,"normal distribution outlier"
"6",201,32,"X_Loc_6_precision",TRUE,"normal distribution outlier"
"7",202,32,"X_Loc_6_precision",TRUE,"normal distribution outlier"
"8",213,32,"X_Loc_6_precision",TRUE,"normal distribution outlier"
"9",214,32,"X_Loc_6_precision",TRUE,"normal distribution outlier"
"10",240,48,"X_Loc_6_precision",TRUE,"normal distribution outlier"
