"","indicator","p value","test type","dependent.var.value","independent.var.value","numbers","se","min","max"
"1","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-07","Female",21.5735659601279,NA,NA,NA
"2","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-08","Female",48.5571965435839,NA,NA,NA
"3","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-10","Female",34.6750974072827,NA,NA,NA
"4","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-11","Female",14.5016759931802,NA,NA,NA
"5","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-12","Female",25.3747179924806,NA,NA,NA
"6","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-13","Female",37.654307274972,NA,NA,NA
"7","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-14","Female",42.1195187100841,NA,NA,NA
"8","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-15","Female",26.6690104410052,NA,NA,NA
"9","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-16","Female",0,NA,NA,NA
"10","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-17","Female",49.5511724137969,NA,NA,NA
"11","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-18","Female",70.1932091759068,NA,NA,NA
"12","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-19","Female",41.6539390592076,NA,NA,NA
"13","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-20","Female",29.017611559039,NA,NA,NA
"14","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-21","Female",12.7894338462593,NA,NA,NA
"15","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-22","Female",4.97366871798974,NA,NA,NA
"16","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-27","Female",13.4999579488293,NA,NA,NA
"17","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-16","Female",66.2566074964573,NA,NA,NA
"18","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-17","Female",109.774097174817,NA,NA,NA
"19","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-18","Female",102.553314276446,NA,NA,NA
"20","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-19","Female",96.2073976754073,NA,NA,NA
"21","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-07","Male",43.9176164188317,NA,NA,NA
"22","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-08","Male",87.8880511339501,NA,NA,NA
"23","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-10","Male",119.436446625085,NA,NA,NA
"24","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-11","Male",24.6920429073067,NA,NA,NA
"25","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-12","Male",69.1242317726195,NA,NA,NA
"26","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-13","Male",84.1684515558199,NA,NA,NA
"27","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-14","Male",107.93126669459,NA,NA,NA
"28","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-15","Male",75.4089260745666,NA,NA,NA
"29","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-16","Male",2.80571646940881,NA,NA,NA
"30","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-17","Male",165.099401431007,NA,NA,NA
"31","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-18","Male",148.973222562504,NA,NA,NA
"32","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-19","Male",142.846215868733,NA,NA,NA
"33","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-20","Male",90.1541959896879,NA,NA,NA
"34","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-21","Male",11.3683856411194,NA,NA,NA
"35","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-22","Male",0,NA,NA,NA
"36","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-03-27","Male",18.473626666819,NA,NA,NA
"37","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-16","Male",230.162868293529,NA,NA,NA
"38","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-17","Male",340.888567673584,NA,NA,NA
"39","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-18","Male",253.545350217565,NA,NA,NA
"40","VAR.3...date",0.000153868577621506,"Pearson's X^2: Rao & Scott adjustment","2018-04-19","Male",211.519916336401,NA,NA,NA
"Female","VAR.7...enter.your.enumerator.id.number.",0.617070126490293,"two sample ttest on difference in means (two sided)",NA,"Female",38.0731586077268,0.819856657944308,36.4662690856706,39.680048129783
"Male","VAR.7...enter.your.enumerator.id.number.",0.617070126490293,"two sample ttest on difference in means (two sided)",NA,"Male",38.59328599091,0.520691970617701,37.5727484814601,39.6138235003598
"110","VAR.8...enter.the.gender.of.the.respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Female","Female",809.019657777081,NA,NA,NA
"210","VAR.8...enter.the.gender.of.the.respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Male","Female",38.5758418897914,NA,NA,NA
"310","VAR.8...enter.the.gender.of.the.respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Female","Male",614.966814474191,NA,NA,NA
"410","VAR.8...enter.the.gender.of.the.respondent",2.47240388702733e-193,"Pearson's X^2: Rao & Scott adjustment","Male","Male",1613.43768585894,NA,NA,NA
"111","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 10","Female",40.897673389159,NA,NA,NA
"211","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 11","Female",30.4735628978098,NA,NA,NA
"311","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 12","Female",23.6306197570081,NA,NA,NA
"411","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 13","Female",33.9683904820723,NA,NA,NA
"510","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 14","Female",26.3543284756426,NA,NA,NA
"610","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 15","Female",25.2402626673353,NA,NA,NA
"710","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 16","Female",16.9606623866462,NA,NA,NA
"810","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 17","Female",14.5016759931802,NA,NA,NA
"99","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 18","Female",29.0262953639419,NA,NA,NA
"101","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 19","Female",16.3006570126444,NA,NA,NA
"112","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 1E","Female",50.9770234869326,NA,NA,NA
"121","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 1W","Female",34.6750974072827,NA,NA,NA
"131","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 20","Female",1.51908541376048,NA,NA,NA
"141","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 2E","Female",37.77041356352,NA,NA,NA
"151","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 2W","Female",32.3603489401918,NA,NA,NA
"161","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 3","Female",42.1195187100841,NA,NA,NA
"171","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 4","Female",37.654307274972,NA,NA,NA
"181","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 5","Female",26.6690104410052,NA,NA,NA
"191","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 6","Female",25.3747179924806,NA,NA,NA
"201","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 7","Female",29.4600229287925,NA,NA,NA
"212","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 8E","Female",40.6143657896444,NA,NA,NA
"221","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 8W","Female",14.2677987646601,NA,NA,NA
"231","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 9","Female",37.9574069620152,NA,NA,NA
"241","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Chakmarkul","Female",8.77571784707543,NA,NA,NA
