"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"dependent.var","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.445652173913,NA,46.1997969818562,50.6915073659699,"mantika","LY0213",0.214338732165891,"two sample ttest on difference in means (two sided)"
"dependent.var1","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.3070866141732,NA,48.4137315929284,52.2004416354181,"mantika","LY0213",0.214338732165891,"two sample ttest on difference in means (two sided)"
"dependent.var2","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47,NA,43.5690398066709,50.4309601933291,"mantika","LY0213",0.214338732165891,"two sample ttest on difference in means (two sided)"
"dependent.var3","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",47.1779661016949,NA,45.6483448362467,48.7075873671431,"mantika","LY0105",0.172004814198557,"two sample ttest on difference in means (two sided)"
"dependent.var11","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.8068181818182,NA,47.0391971001554,50.5744392634809,"mantika","LY0105",0.172004814198557,"two sample ttest on difference in means (two sided)"
"dependent.var21","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47.5178571428571,NA,45.5822313254126,49.4534829603017,"mantika","LY0105",0.172004814198557,"two sample ttest on difference in means (two sided)"
"dependent.var4","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",52.4190476190476,NA,49.9625318932249,54.8755633448703,"mantika","LY0103",0.0114576061248857,"two sample ttest on difference in means (two sided)"
"dependent.var12","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.9787234042553,NA,48.6481556384331,53.3092911700776,"mantika","LY0103",0.0114576061248857,"two sample ttest on difference in means (two sided)"
"dependent.var22","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",55.2222222222222,NA,52.9131863323975,57.531258112047,"mantika","LY0103",0.0114576061248857,"two sample ttest on difference in means (two sided)"
"dependent.var5","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.3846153846154,NA,48.3001078454263,52.4691229238045,"mantika","LY0319",0.808181274242477,"two sample ttest on difference in means (two sided)"
"dependent.var13","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.7540983606557,NA,48.6156745286293,52.8925221926822,"mantika","LY0319",0.808181274242477,"two sample ttest on difference in means (two sided)"
"dependent.var23","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",53.8,NA,49.8120632505425,57.7879367494575,"mantika","LY0319",0.808181274242477,"two sample ttest on difference in means (two sided)"
"dependent.var6","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",47.7941176470588,NA,45.2473138069208,50.3409214871969,"mantika","LY0214",0.840561843582984,"two sample ttest on difference in means (two sided)"
"dependent.var14","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.1450381679389,NA,45.8534612060361,50.4366151298418,"mantika","LY0214",0.840561843582984,"two sample ttest on difference in means (two sided)"
"dependent.var24","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.3298969072165,NA,48.6904605485671,53.9693332658659,"mantika","LY0214",0.840561843582984,"two sample ttest on difference in means (two sided)"
"dependent.var7","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",52.5671641791045,NA,50.0327945524028,55.1015338058062,"mantika","LY0212",0.688476861196253,"two sample ttest on difference in means (two sided)"
"dependent.var15","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.7391304347826,NA,48.5704794983216,54.9077813712436,"mantika","LY0212",0.688476861196253,"two sample ttest on difference in means (two sided)"
"dependent.var25","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",42.98,NA,40.1829716511463,45.7770283488537,"mantika","LY0212",0.688476861196253,"two sample ttest on difference in means (two sided)"
"dependent.var8","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",49.4705882352941,NA,44.6057510415601,54.3354254290281,"mantika","LY0208",0.56723568162268,"two sample ttest on difference in means (two sided)"
"dependent.var16","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47.4561403508772,NA,44.0021498661026,50.9101308356518,"mantika","LY0208",0.56723568162268,"two sample ttest on difference in means (two sided)"
"dependent.var26","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",46.9375,NA,39.5507740031612,54.3242259968388,"mantika","LY0208",0.56723568162268,"two sample ttest on difference in means (two sided)"
"dependent.var9","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",45.1652173913043,NA,43.0500933479974,47.2803414346113,"mantika","LY0321",0.0419643830145289,"two sample ttest on difference in means (two sided)"
"dependent.var17","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",48.1857142857143,NA,46.2421281851554,50.1293003862732,"mantika","LY0321",0.0419643830145289,"two sample ttest on difference in means (two sided)"
"dependent.var27","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.4851485148515,NA,46.0915769053361,50.8787201243669,"mantika","LY0321",0.0419643830145289,"two sample ttest on difference in means (two sided)"
"dependent.var10","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",47.2553191489362,NA,44.7366901097407,49.7739481881316,"mantika","LY0215",0.281117993677227,"two sample ttest on difference in means (two sided)"
"dependent.var18","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.9703703703704,NA,47.1223905002545,50.8183502404862,"mantika","LY0215",0.281117993677227,"two sample ttest on difference in means (two sided)"
"dependent.var28","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",46.2307692307692,NA,43.8485743908406,48.6129640706979,"mantika","LY0215",0.281117993677227,"two sample ttest on difference in means (two sided)"
"dependent.var19","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",50.6708860759494,NA,47.9056674558621,53.4361046960367,"mantika","LY0107",0.586503681545219,"two sample ttest on difference in means (two sided)"
"dependent.var110","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",47.7615384615385,NA,45.7298156511247,49.7932612719523,"mantika","LY0107",0.586503681545219,"two sample ttest on difference in means (two sided)"
"dependent.var29","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.6907216494845,NA,46.0211954002653,51.3602478987038,"mantika","LY0107",0.586503681545219,"two sample ttest on difference in means (two sided)"
"dependent.var20","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",41.4657534246575,NA,38.6944478522654,44.2370589970497,"mantika","LY0104",0.00768091905992394,"two sample ttest on difference in means (two sided)"
