"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2",Inf,0,-0.5,-0.667,-0.75,-0.8,-0.833,-0.857,-0.875,-0.889,-0.9,-0.909,-0.917,-0.923,-0.929,-0.933,-0.938,-0.941,-0.944,-0.947,-0.95
"3",Inf,1,0,-0.333,-0.5,-0.6,-0.667,-0.714,-0.75,-0.778,-0.8,-0.818,-0.833,-0.846,-0.857,-0.867,-0.875,-0.882,-0.889,-0.895,-0.9
"4",Inf,2,0.5,0,-0.25,-0.4,-0.5,-0.571,-0.625,-0.667,-0.7,-0.727,-0.75,-0.769,-0.786,-0.8,-0.812,-0.824,-0.833,-0.842,-0.85
"5",Inf,3,1,0.333,0,-0.2,-0.333,-0.429,-0.5,-0.556,-0.6,-0.636,-0.667,-0.692,-0.714,-0.733,-0.75,-0.765,-0.778,-0.789,-0.8
"6",Inf,4,1.5,0.667,0.25,0,-0.167,-0.286,-0.375,-0.444,-0.5,-0.545,-0.583,-0.615,-0.643,-0.667,-0.688,-0.706,-0.722,-0.737,-0.75
"7",Inf,5,2,1,0.5,0.2,0,-0.143,-0.25,-0.333,-0.4,-0.455,-0.5,-0.538,-0.571,-0.6,-0.625,-0.647,-0.667,-0.684,-0.7
"8",Inf,6,2.5,1.333,0.75,0.4,0.167,0,-0.125,-0.222,-0.3,-0.364,-0.417,-0.462,-0.5,-0.533,-0.562,-0.588,-0.611,-0.632,-0.65
"9",Inf,7,3,1.667,1,0.6,0.333,0.143,0,-0.111,-0.2,-0.273,-0.333,-0.385,-0.429,-0.467,-0.5,-0.529,-0.556,-0.579,-0.6
"10",Inf,8,3.5,2,1.25,0.8,0.5,0.286,0.125,0,-0.1,-0.182,-0.25,-0.308,-0.357,-0.4,-0.438,-0.471,-0.5,-0.526,-0.55
"11",Inf,9,4,2.333,1.5,1,0.667,0.429,0.25,0.111,0,-0.091,-0.167,-0.231,-0.286,-0.333,-0.375,-0.412,-0.444,-0.474,-0.5
"12",Inf,10,4.5,2.667,1.75,1.2,0.833,0.571,0.375,0.222,0.1,0,-0.083,-0.154,-0.214,-0.267,-0.312,-0.353,-0.389,-0.421,-0.45
"13",Inf,11,5,3,2,1.4,1,0.714,0.5,0.333,0.2,0.091,0,-0.077,-0.143,-0.2,-0.25,-0.294,-0.333,-0.368,-0.4
"14",Inf,12,5.5,3.333,2.25,1.6,1.167,0.857,0.625,0.444,0.3,0.182,0.083,0,-0.071,-0.133,-0.188,-0.235,-0.278,-0.316,-0.35
"15",Inf,13,6,3.667,2.5,1.8,1.333,1,0.75,0.556,0.4,0.273,0.167,0.077,0,-0.067,-0.125,-0.176,-0.222,-0.263,-0.3
"16",Inf,14,6.5,4,2.75,2,1.5,1.143,0.875,0.667,0.5,0.364,0.25,0.154,0.071,0,-0.062,-0.118,-0.167,-0.211,-0.25
"17",Inf,15,7,4.333,3,2.2,1.667,1.286,1,0.778,0.6,0.455,0.333,0.231,0.143,0.067,0,-0.059,-0.111,-0.158,-0.2
"18",Inf,16,7.5,4.667,3.25,2.4,1.833,1.429,1.125,0.889,0.7,0.545,0.417,0.308,0.214,0.133,0.062,0,-0.056,-0.105,-0.15
"19",Inf,17,8,5,3.5,2.6,2,1.571,1.25,1,0.8,0.636,0.5,0.385,0.286,0.2,0.125,0.059,0,-0.053,-0.1
"20",Inf,18,8.5,5.333,3.75,2.8,2.167,1.714,1.375,1.111,0.9,0.727,0.583,0.462,0.357,0.267,0.188,0.118,0.056,0,-0.05
"21",Inf,19,9,5.667,4,3,2.333,1.857,1.5,1.222,1,0.818,0.667,0.538,0.429,0.333,0.25,0.176,0.111,0.053,0
