"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"dependent.var","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Ninewa",233898.601398601,NA,233826.68661991,233970.516177292,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var1","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Diyala",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var2","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Kirkuk",233950,NA,233904.225446864,233995.774553136,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var3","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Erbil",234015.151515152,NA,233985.559449784,234044.743580519,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var4","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Sulaymaniyah",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var5","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Basrah",237219.858156028,NA,232648.507383718,241791.208928339,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var6","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Dahuk",235553.846153846,NA,232152.840586252,238954.85172144,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var7","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Salah al-Din",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var8","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Muthanna",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var9","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Missan",233776.119402985,NA,233453.391042801,234098.847763169,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var10","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Qadissiya",236034.782608696,NA,232062.939789288,240006.625428103,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var11","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Thi-Qar",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var12","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Kerbala",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var13","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"",NA,NA,NA,NA,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var14","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Najaf",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var15","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Anbar",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var16","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Baghdad",234000,NA,234000,234000,"idp_ref","idp",0.990920891748327,"two sample ttest on difference in means (two sided)"
"dependent.var17","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Sulaymaniyah",467921.501706485,NA,467865.02855253,467977.974860439,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var18","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Erbil",467263.698630137,NA,467064.847627099,467462.549633175,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var21","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Qadissiya",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var31","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Dahuk",467675.572519084,NA,467508.973130247,467842.171907921,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var41","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Kirkuk",546722.222222222,NA,394664.580909307,698779.863535137,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var51","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"",NA,NA,NA,NA,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var61","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Basrah",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var71","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Baghdad",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var81","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Missan",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var91","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Thi-Qar",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var101","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Najaf",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"dependent.var111","How much did you receive (in IQD)?","In which governorate do you currently live?",NA,"Ninewa",468000,NA,468000,468000,"idp_ref","refugee",0.994256629532331,"two sample ttest on difference in means (two sided)"
"1","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Anbar",0.6,NA,0.170471846667658,1,"idp_ref","idp",NA,NA
"2","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Baghdad",0.666666666666667,NA,0.133081028277183,1,"idp_ref","idp",NA,NA
"3","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Basrah",0.716312056737589,NA,0.64188462557493,0.790739487900247,"idp_ref","idp",NA,NA
"4","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Dahuk",0.753846153846154,NA,0.679775869014936,0.827916438677371,"idp_ref","idp",NA,NA
"5","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Diyala",0.707070707070707,NA,0.617396768834657,0.796744645306758,"idp_ref","idp",NA,NA
"6","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Erbil",0.628787878787879,NA,0.54634612811873,0.711229629457028,"idp_ref","idp",NA,NA
"7","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Kerbala",1,NA,1,1,"idp_ref","idp",NA,NA
"8","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Kirkuk",0.658333333333333,NA,0.598314213368969,0.718352453297697,"idp_ref","idp",NA,NA
"9","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Missan",0.895522388059702,NA,0.822259597415895,0.968785178703508,"idp_ref","idp",NA,NA
"10","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Muthanna",0.802325581395349,NA,0.718133286934361,0.886517875856336,"idp_ref","idp",NA,NA
"11","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Najaf",0.8,NA,0.449291731391942,1,"idp_ref","idp",NA,NA
"12","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Ninewa",0.828671328671329,NA,0.784990167014437,0.87235249032822,"idp_ref","idp",NA,NA
"13","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Qadissiya",0.852173913043478,NA,0.787286306623729,0.917061519463227,"idp_ref","idp",NA,NA
"14","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Salah al-Din",0.763636363636364,NA,0.684220309406707,0.84305241786602,"idp_ref","idp",NA,NA
"15","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Sulaymaniyah",0.761029411764706,NA,0.710335067341569,0.811723756187842,"idp_ref","idp",NA,NA
"16","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Thi-Qar",0.891891891891892,NA,0.821123325510685,0.962660458273099,"idp_ref","idp",NA,NA
"17","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Anbar",0.4,NA,0,0.829528153332342,"idp_ref","idp",NA,NA
"18","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Baghdad",0.333333333333333,NA,0,0.866918971722817,"idp_ref","idp",NA,NA
"19","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Basrah",0.283687943262411,NA,0.209260512099753,0.35811537442507,"idp_ref","idp",NA,NA
"20","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Dahuk",0.153846153846154,NA,0.0918067911127693,0.215885516579538,"idp_ref","idp",NA,NA
"21","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Diyala",0.282828282828283,NA,0.194086854559394,0.371569711097172,"idp_ref","idp",NA,NA
"22","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Erbil",0.310606060606061,NA,0.231643223521917,0.389568897690204,"idp_ref","idp",NA,NA
"23","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Kerbala",0,NA,0,0,"idp_ref","idp",NA,NA
"24","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Kirkuk",0.308333333333333,NA,0.249891469576987,0.366775197089679,"idp_ref","idp",NA,NA
"25","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Missan",0.0746268656716418,NA,0.0116849931526141,0.137568738190669,"idp_ref","idp",NA,NA
"26","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Muthanna",0.186046511627907,NA,0.103778244299576,0.268314778956238,"idp_ref","idp",NA,NA
"27","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Najaf",0.2,NA,0,0.550708268608058,"idp_ref","idp",NA,NA
"28","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Ninewa",0.171328671328671,NA,0.12764750967178,0.215009832985563,"idp_ref","idp",NA,NA
"29","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Qadissiya",0.147826086956522,NA,0.0829384805367729,0.212713693376271,"idp_ref","idp",NA,NA
"30","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Salah al-Din",0.236363636363636,NA,0.15694758213398,0.315779690593293,"idp_ref","idp",NA,NA
"31","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Sulaymaniyah",0.180147058823529,NA,0.134462637133046,0.225831480514012,"idp_ref","idp",NA,NA
"32","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Thi-Qar",0.0945945945945946,NA,0.0278970481827174,0.161292141006472,"idp_ref","idp",NA,NA
"33","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Anbar",0,NA,0,0,"idp_ref","idp",NA,NA
"34","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Baghdad",0,NA,0,0,"idp_ref","idp",NA,NA
"35","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Basrah",0,NA,0,0,"idp_ref","idp",NA,NA
"36","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Dahuk",0.0769230769230769,NA,0.0311039709735172,0.122742182872637,"idp_ref","idp",NA,NA
"37","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Diyala",0.0101010101010101,NA,0,0.0298039604124423,"idp_ref","idp",NA,NA
"38","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Erbil",0.0378787878787879,NA,0.00530284596051606,0.0704547297970597,"idp_ref","idp",NA,NA
"39","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Kerbala",0,NA,0,0,"idp_ref","idp",NA,NA
"40","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Kirkuk",0.0291666666666667,NA,0.00787149555381201,0.0504618377795213,"idp_ref","idp",NA,NA
"41","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Missan",0.0298507462686567,NA,0,0.0706104002252982,"idp_ref","idp",NA,NA
"42","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Muthanna",0.0116279069767442,NA,0,0.034291710792018,"idp_ref","idp",NA,NA
"43","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Najaf",0,NA,0,0,"idp_ref","idp",NA,NA
"44","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Ninewa",0,NA,0,0,"idp_ref","idp",NA,NA
"45","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Qadissiya",0,NA,0,0,"idp_ref","idp",NA,NA
