"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","Quel est le sexe de l'enquété ? ",NA,"Femme","NA",0.497596153846154,NA,0.463601348066895,0.531590959625412,"zonesante","kasansa"
"2","Quel est le sexe de l'enquété ? ",NA,"Homme","NA",0.502403846153846,NA,0.468409040374588,0.536398651933105,"zonesante","kasansa"
"3","Quel est le sexe de l'enquété ? ",NA,"Femme","NA",0.582150101419878,NA,0.53856950405207,0.625730698787686,"zonesante","cilundu"
"4","Quel est le sexe de l'enquété ? ",NA,"Homme","NA",0.417849898580122,NA,0.374269301212314,0.46143049594793,"zonesante","cilundu"
"5","Quel est le sexe du chef de ménage? ",NA,"Femme","NA",0.342136854741897,NA,0.309899890632866,0.374373818850928,"zonesante","kasansa"
"6","Quel est le sexe du chef de ménage? ",NA,"Homme","NA",0.656662665066026,NA,0.624398672703125,0.688926657428928,"zonesante","kasansa"
"7","Quel est le sexe du chef de ménage? ",NA,"Préfère ne pas répondre","NA",0.00120048019207683,NA,-0.00115241774854746,0.00355337813270112,"zonesante","kasansa"
"8","Quel est le sexe du chef de ménage? ",NA,"Femme","NA",0.346153846153846,NA,0.304158902893384,0.388148789414309,"zonesante","cilundu"
"9","Quel est le sexe du chef de ménage? ",NA,"Homme","NA",0.653846153846154,NA,0.611851210585691,0.695841097106616,"zonesante","cilundu"
"10","demographics_note_001",NA,"0","NA",0.991596638655462,NA,0.985393943032053,0.997799334278872,"zonesante","kasansa"
"11","demographics_note_001",NA,"Probleme","NA",0.00840336134453781,NA,0.00220066572112823,0.0146060569679474,"zonesante","kasansa"
"12","demographics_note_001",NA,"0","NA",0.981781376518219,NA,0.969975729158996,0.993587023877441,"zonesante","cilundu"
"13","demographics_note_001",NA,"Probleme","NA",0.0182186234817814,NA,0.00641297612255921,0.0300242708410035,"zonesante","cilundu"
"dependent.var","Garcons de moins de 6 mois","na","NA","NA",0.266506602641056,NA,0.228629576275132,0.30438362900698,"zonesante","kasansa"
"dependent.var1","Garcons de moins de 6 mois","na","NA","NA",0.204453441295547,NA,0.152313918038413,0.256592964552681,"zonesante","cilundu"
"dependent.var2","Filles de moins de 6 mois","na","NA","NA",0.203125,NA,0.168268612069295,0.237981387930705,"zonesante","kasansa"
"dependent.var3","Filles de moins de 6 mois","na","NA","NA",0.165991902834008,NA,0.120295022052606,0.21168878361541,"zonesante","cilundu"
"dependent.var4","Garcons entre 7 mois et 2 ans","na","NA","NA",0.483793517406963,NA,0.435888558894886,0.53169847591904,"zonesante","kasansa"
"dependent.var5","Garcons entre 7 mois et 2 ans","na","NA","NA",0.451417004048583,NA,0.386117257042014,0.516716751055151,"zonesante","cilundu"
"dependent.var6","Filles entre 7 mois et 2 ans","na","NA","NA",0.423769507803121,NA,0.379635782048717,0.467903233557525,"zonesante","kasansa"
