"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.445652173913,NA,46.1997969818562,50.6915073659699,"mantika","LY0213"
"dependent.var1","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.3070866141732,NA,48.4137315929284,52.2004416354181,"mantika","LY0213"
"dependent.var2","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47,NA,43.5690398066709,50.4309601933291,"mantika","LY0213"
"dependent.var3","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",47.1779661016949,NA,45.6483448362467,48.7075873671431,"mantika","LY0105"
"dependent.var11","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.8068181818182,NA,47.0391971001554,50.5744392634809,"mantika","LY0105"
"dependent.var21","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47.5178571428571,NA,45.5822313254126,49.4534829603017,"mantika","LY0105"
"dependent.var4","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",52.4190476190476,NA,49.9625318932249,54.8755633448703,"mantika","LY0103"
"dependent.var12","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.9787234042553,NA,48.6481556384331,53.3092911700776,"mantika","LY0103"
"dependent.var22","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",55.2222222222222,NA,52.9131863323975,57.531258112047,"mantika","LY0103"
"dependent.var5","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.3846153846154,NA,48.3001078454263,52.4691229238045,"mantika","LY0319"
"dependent.var13","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.7540983606557,NA,48.6156745286293,52.8925221926822,"mantika","LY0319"
"dependent.var23","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",53.8,NA,49.8120632505425,57.7879367494575,"mantika","LY0319"
"dependent.var6","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",47.7941176470588,NA,45.2473138069208,50.3409214871969,"mantika","LY0214"
"dependent.var14","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.1450381679389,NA,45.8534612060361,50.4366151298418,"mantika","LY0214"
"dependent.var24","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.3298969072165,NA,48.6904605485671,53.9693332658659,"mantika","LY0214"
"dependent.var7","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",52.5671641791045,NA,50.0327945524028,55.1015338058062,"mantika","LY0212"
"dependent.var15","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.7391304347826,NA,48.5704794983216,54.9077813712436,"mantika","LY0212"
"dependent.var25","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",42.98,NA,40.1829716511463,45.7770283488537,"mantika","LY0212"
"dependent.var8","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",49.4705882352941,NA,44.6057510415601,54.3354254290281,"mantika","LY0208"
"dependent.var16","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",47.4561403508772,NA,44.0021498661026,50.9101308356518,"mantika","LY0208"
"dependent.var26","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",46.9375,NA,39.5507740031612,54.3242259968388,"mantika","LY0208"
"dependent.var9","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",45.1652173913043,NA,43.0500933479974,47.2803414346113,"mantika","LY0321"
"dependent.var17","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",48.1857142857143,NA,46.2421281851554,50.1293003862732,"mantika","LY0321"
"dependent.var27","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.4851485148515,NA,46.0915769053361,50.8787201243669,"mantika","LY0321"
"dependent.var10","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",47.2553191489362,NA,44.7366901097407,49.7739481881316,"mantika","LY0215"
"dependent.var18","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.9703703703704,NA,47.1223905002545,50.8183502404862,"mantika","LY0215"
"dependent.var28","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",46.2307692307692,NA,43.8485743908406,48.6129640706979,"mantika","LY0215"
"dependent.var19","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",50.6708860759494,NA,47.9056674558621,53.4361046960367,"mantika","LY0107"
"dependent.var110","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",47.7615384615385,NA,45.7298156511247,49.7932612719523,"mantika","LY0107"
"dependent.var29","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",48.6907216494845,NA,46.0211954002653,51.3602478987038,"mantika","LY0107"
"dependent.var20","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",41.4657534246575,NA,38.6944478522654,44.2370589970497,"mantika","LY0104"
"dependent.var111","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",46.2622950819672,NA,44.1232030532505,48.401387110684,"mantika","LY0104"
"dependent.var30","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",48.05,NA,45.9007316984879,50.1992683015121,"mantika","LY0216"
"dependent.var112","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.1615384615385,NA,46.1258191170181,50.1972578060588,"mantika","LY0216"
"dependent.var210","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",49.0697674418605,NA,46.8178146645784,51.3217202191426,"mantika","LY0216"
"dependent.var31","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",54.6279069767442,NA,52.4219515670065,56.8338623864819,"mantika","LY0318"
"dependent.var113","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",53.1081081081081,NA,50.8848050421116,55.3314111741046,"mantika","LY0318"
"dependent.var211","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.75,NA,48.6323373816985,54.8676626183015,"mantika","LY0318"
"dependent.var32","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.2307692307692,NA,47.2842372827459,53.1773011787925,"mantika","LY0322"
"dependent.var114","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48,NA,45.6638846712397,50.3361153287603,"mantika","LY0322"
"dependent.var212","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.3829787234043,NA,47.3352466091282,55.4307108376803,"mantika","LY0322"
"dependent.var33","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",51.7686567164179,NA,49.7368846191081,53.8004288137278,"mantika","LY0102"
"dependent.var115","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",44.8684210526316,NA,42.3834460595786,47.3533960456845,"mantika","LY0102"
"dependent.var34","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.6808510638298,NA,49.303205752343,54.0584963753166,"mantika","LY0211"
"dependent.var116","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.0322580645161,NA,48.3667659093149,53.6977502197174,"mantika","LY0211"
"dependent.var213","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.7615384615385,NA,48.5587943114296,52.9642826116474,"mantika","LY0211"
"dependent.var35","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",49.8602150537634,NA,47.893484107483,51.8269460000439,"mantika","LY0320"
"dependent.var117","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",42.87,NA,40.5959409192837,45.1440590807163,"mantika","LY0320"
"dependent.var214","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50,NA,48.0393762800187,51.9606237199813,"mantika","LY0320"
"dependent.var36","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",44.1891891891892,NA,41.7783353289774,46.600043049401,"mantika","LY0317"
"dependent.var118","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.2977099236641,NA,46.0089005975137,50.5865192498145,"mantika","LY0317"
"dependent.var37","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",44.2554744525547,NA,42.1965968690559,46.3143520360536,"mantika","LY0101"
"dependent.var119","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",46.4523809523809,NA,42.8676380146017,50.0371238901602,"mantika","LY0101"
"dependent.var215","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",49.4155844155844,NA,46.7081472772264,52.1230215539424,"mantika","LY0101"
"dependent.var38","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",45.3533834586466,NA,42.8953527064185,47.8114142108748,"mantika","LY0106"
